# Data for Prokaryotes_0213
BUCC005c01 : circular
BUCC005c02 : circular
BUCC005p01 : circular
BUCE001c01 : circular
BUCE001c02 : circular
BUCG001c01 : circular
BUCG001c02 : circular
BUCG001c03 : circular
BUCG001p01 : circular
BUCN001c01 : circular
BUGD001c01 : circular
BUGD001c02 : circular
BUGD001p01 : circular
BUGD001p02 : circular
BUGD001p03 : circular
BUGD001p04 : circular
BUGE001c01 : circular
BUGE001c02 : circular
BUGL001c01 : circular
BUGL001c02 : circular
BUGL001p01 : circular
BUGL001p02 : circular
BUGL001p03 : circular
BUGL001p04 : circular
BUKJ001c01 : circular
BUKJ001c02 : circular
BUKJ001c03 : circular
BUKJ001p01 : circular
BUMA001c01 : circular
BUMA001c02 : circular
BUMA002c01 : circular
BUMA002c02 : circular
BUMA003c01 : circular
BUMA003c02 : circular
BUMA005c01 : circular
BUMA005c02 : circular
BUMU001c01 : circular
BUMU001c02 : circular
BUMU001c03 : circular
BUMU001p01 : circular
BUMU002c01 : circular
BUMU002c02 : circular
BUMU002c03 : circular
BUMU002p01 : circular
BUPE001c01 : circular
BUPE001c02 : circular
BUPE001p01 : circular
BUPH001c01 : circular
BUPH001c02 : circular
BUPR001c01 : circular
BUPR001c02 : circular
BUPR001p02 : circular
BUPR001p03 : circular
BUPS001c01 : circular
BUPS001c02 : circular
BUPS002c01 : circular
BUPS002c02 : circular
BUPS003c01 : circular
BUPS003c02 : circular
BUPS004c01 : circular
BUPS004c02 : circular
BUPS005c01 : linear
BUPS006c01 : circular
BUPS006c02 : circular
BUPS007c01 : circular
BUPS007c02 : circular
BUPT001c01 : circular
BUPT001c02 : circular
BUPT001p01 : circular
BUPT001p02 : circular
BUPT001p03 : circular
BURH001c01 : circular
BURH001p01 : circular
BURH001p02 : circular
BUTH001c01 : circular
BUTH001c02 : circular
BUVI001c01 : circular
BUVI001c02 : circular
BUVI001c03 : circular
BUVI001p01 : circular
BUVI001p02 : circular
BUVI001p03 : circular
BUVI001p04 : circular
BUVI001p05 : circular
BUXE001c01 : circular
BUXE001c02 : circular
BUXE001c03 : circular
BUYI001c01 : circular
BUYI001c02 : circular
BUYI001c03 : circular
BUYI001p01 : circular
BUYI001p02 : circular
BUYI001p03 : circular
CA17001c01 : circular
CA17001p01 : circular
CA63001c01 : circular
CA63001p01 : circular
CA63001p02 : circular
CA63001p03 : circular
CA75001c01 : circular
CAAC001c01 : circular
CAAE001c01 : circular
CABL001c01 : circular
CABL002c01 : circular
CACA001c01 : circular
CACO001c01 : circular
CACO001p01 : circular
CACO001p02 : circular
CACR001c01 : circular
CACR002c01 : circular
CACU001c01 : circular
CAEP001c01 : circular
CAEP001p01 : circular
CAEX001c01 : circular
CAFE001c01 : circular
CAHD001c01 : circular
CAHO001c01 : circular
CAHO001p01 : circular
CAHY001c01 : circular
CAJE001c01 : circular
CAJE002c01 : circular
CAJE003c01 : circular
CAJE003p01 : circular
CAJE003p02 : linear
CAJE004c01 : circular
CAJE005c01 : circular
CAJE006c01 : circular
CAJE006p01 : circular
CAJE007c01 : circular
CAJE007p01 : circular
CAJE008c01 : circular
CAJE009c01 : circular
CAJE009p01 : circular
CAJE010c01 : circular
CAJE011c01 : circular
CAK3001c01 : circular
CAK3001p01 : circular
CAK3001p02 : circular
CAKN001c01 : circular
CAKN001p01 : circular
CAKR001c01 : circular
CALA001c01 : circular
CALA001p01 : circular
CALC001c01 : circular
CALG001c01 : circular
CAMA001c01 : circular
CAML001c01 : circular
CANI001c01 : circular
CANI001p01 : circular
CAOB001c01 : circular
CAOC001c01 : circular
CAOW001c01 : circular
CAPE001c01 : circular
CARU001c01 : circular
CARU002c01 : circular
CARU003c01 : circular
CARU004c01 : circular
CARU005c01 : circular
CARU006c01 : circular
CASA001c01 : circular
CASE001c01 : circular
CEAL001c01 : circular
CEFI001c01 : circular
CEFL001c01 : circular
CEGI001c01 : circular
CEJA001c01 : circular
CELY001c01 : circular
CESY001c01 : circular
CHAB001c01 : circular
CHAG001c01 : circular
CHAU001c01 : circular
CHCA001c01 : circular
CHCA001p01 : circular
CHCH001c01 : circular
CHFE001c01 : circular
CHFE001p01 : circular
CHLI001c01 : circular
CHLU001c01 : circular
CHMI001c01 : circular
CHMI001p01 : circular
CHMI001p02 : linear
CHMU001c01 : circular
CHMU001p01 : circular
CHPA001c01 : circular
CHPE001c01 : circular
CHPH001c01 : circular
CHPH002c01 : circular
CHPI001c01 : circular
CHPN001c01 : circular
CHPN001v01 : circular
CHPN002c01 : circular
CHPN003c01 : circular
CHPN003p01 : circular
CHPN004c01 : circular
CHPN010c01 : circular
CHPS001c01 : circular
CHPS001p01 : circular
CHPS002c01 : circular
CHPS003c01 : circular
CHPS004c01 : circular
CHPS005c01 : circular
CHPS006c01 : circular
CHPS006p01 : circular
CHPS007c01 : circular
CHPS007p01 : circular
CHPS008c01 : circular
CHPS008p01 : circular
CHPS009c01 : circular
CHPS010c01 : circular
CHPS011c01 : circular
CHPS011p01 : circular
CHPS012c01 : circular
CHPS012p01 : circular
CHPS013c01 : circular
CHPS013p01 : circular
CHPS014c01 : circular
CHPS014p01 : circular
CHPS015c01 : circular
CHPS015p01 : circular
CHPS016c01 : circular
CHPS016p01 : circular
CHPS017c01 : circular
CHPS017p01 : circular
CHSA001c01 : circular
CHSP001c01 : circular
CHTA001c01 : circular
CHTA001p01 : circular
CHTA001p02 : circular
CHTE001c01 : circular
CHTH001c01 : circular
CHTM001c01 : circular
CHTM001c02 : circular
CHTR001c01 : circular
CHTR002c01 : circular
CHTR002p01 : circular
CHTR003c01 : circular
CHTR004c01 : circular
CHTR005c01 : circular
CHTR006c01 : circular
CHTR007c01 : circular
CHTR008c01 : circular
CHTR009c01 : circular
CHTR010c01 : circular
CHTR011c01 : circular
CHTR012c01 : circular
CHTR013c01 : circular
CHTR014c01 : circular
CHTR014p01 : circular
CHTR015c01 : circular
CHTR015p01 : circular
CHTR016c01 : circular
CHTR016p01 : circular
CHTR017c01 : circular
CHTR018c01 : circular
CHTR019c01 : circular
CHTR020c01 : circular
CHTR021c01 : circular
CHVI001c01 : circular
CIKO001c01 : circular
CIKO001p01 : circular
CIKO001p02 : circular
CIRO001c01 : circular
CIRO001p01 : circular
CIRO001p02 : circular
CIRO001p03 : circular
CLAC001c01 : circular
CLAC001p01 : circular
CLAC002c01 : circular
CLAC002p01 : circular
CLAC003c01 : circular
CLAC003p01 : circular
CLAC003p02 : circular
CLAD001c01 : circular
CLAD001p01 : circular
CLAI001c01 : circular
CLBE001c01 : circular
CLBN001c01 : circular
CLBO001c01 : circular
CLBO001p01 : circular
CLBO002c01 : circular
CLBO002p01 : circular
CLBO003c01 : circular
CLBO003p01 : circular
CLBO004c01 : circular
